reviews,titles
  에서도 보고 공원에서 영화  보여주는 날에도 봐서  번이상 본 듯해요    봐도봐도 질리지가 않는 영화 같아요  ,수상한 그녀
눈물난다 자식생각많이 남,수상한 그녀
제 생일 때로 가고 싶네요 그리고 청춘사진관에서 꽃미남으로 변신해서 사람들 놀라게 만들고 싶다야 이런 영화가 있었다니 세계 최고의 영화군 대박 심은경 연기 잘하네 진영 사고 난 건 슬프다,수상한 그녀
케이블로  번째 볼때마다 명작      ,수상한 그녀
어머  이건   점을 줘야해  ,수상한 그녀
하얀나비  들을때  눈물 났어요,수상한 그녀
시간이 지나도 또 보고 싶은 영화  또 봐도 마음이 뭉클한  영화,수상한 그녀
명작이 이런 영화입니다 ,수상한 그녀
재밌습니다,수상한 그녀
눈물나,수상한 그녀
개봉당시에 봤었는데 재밌었음,수상한 그녀
참젖  물젖 웃겼어요 ,수상한 그녀
나이에 어울리지 않은 능글능글한 심은경의 연기  많이 부담스럽다 ,수상한 그녀
온 가족이 재밌게 봤습니다 ,수상한 그녀
행복해지고 싶을 때 보면 정말 좋은 영화,수상한 그녀
재미나군요,수상한 그녀
볼 만 합디다,수상한 그녀
유쾌하고 좋아요,수상한 그녀
최고    또 보고 싶고  그 시절이 그립네요 ,수상한 그녀
 ,수상한 그녀
정말 다시 봐도 심은경  ,수상한 그녀
다시봐도 심은경 ,수상한 그녀
오늘도     에서 보고있는데 가벼운것 같으면서도 여러가지 생각하게 만드는 영화   그리고 심은경의 단순한것 같으면서도 깊은 서울  소울 느끼게 하는 노래          나도이제 나이가 들어가나 ,수상한 그녀
해피해피,수상한 그녀
딱 명절용으로    그 이상은 아니다 ,수상한 그녀
심은경씨  연기 잘하요,수상한 그녀
안녕하세요저는퇴촌양평군강하면왕창로사는최민지입니다 오두리역할심은경언니너무예쁘고노래도너무재미있어요앞으로도내년설특선영화많이보여주세요심은경언니보는순간퐁당빠졌어요나성에가면노래도꼭예쁜노래도보여주세요,수상한 그녀
지금 보고있는데 너무 재밌어요  ,수상한 그녀
